Time gripper_l_joint gripper_r_joint yumi_joint_1_l yumi_joint_1_r yumi_joint_2_l yumi_joint_2_r yumi_joint_3_l yumi_joint_3_r yumi_joint_4_l yumi_joint_4_r yumi_joint_5_l yumi_joint_5_r yumi_joint_6_l yumi_joint_6_r yumi_joint_7_l yumi_joint_7_r 
550000000 0.00316426 0.000579524 -0.417438 0.973793 -1.46704 -1.65411 0.743413 0.307473 -0.793052 0.787301 0.446023 0.442199 1.19946 1.1996 1.2003 -1.81126 
570000000 0.00316556 0.000571422 -0.417446 0.995386 -1.46704 -1.67021 0.743411 0.278134 -0.793053 0.787674 0.446023 0.439335 1.19946 1.1996 1.20031 -1.80594 
590000000 0.00316381 0.00057532 -0.417452 0.993194 -1.46704 -1.67198 0.743409 0.288866 -0.793054 0.786564 0.446023 0.445611 1.19946 1.1996 1.20032 -1.80335 
610000000 0.00316414 0.000570311 -0.417458 0.981609 -1.46704 -1.66326 0.743407 0.310131 -0.793054 0.786199 0.446023 0.447937 1.19946 1.1996 1.20032 -1.79215 
630000000 0.00316181 0.000564396 -0.417463 0.986075 -1.46705 -1.66524 0.743404 0.303628 -0.793055 0.78708 0.446023 0.442344 1.19946 1.19959 1.20033 -1.79043 
650000000 0.00316229 0.000576835 -0.417469 0.98139 -1.46705 -1.66061 0.743403 0.314977 -0.793056 0.784967 0.446022 0.44445 1.19946 1.1996 1.20033 -1.78904 
670000000 0.00316018 0.000580452 -0.417474 0.983135 -1.46705 -1.65785 0.7434 0.316437 -0.793057 0.785512 0.446022 0.448087 1.19946 1.19959 1.20034 -1.78725 
690000000 0.00316091 0.000574544 -0.417482 0.990843 -1.46705 -1.66184 0.743399 0.30512 -0.793057 0.78534 0.446022 0.450001 1.19946 1.1996 1.20035 -1.79105 
710000000 0.00316002 0.0005794 -0.417489 1.00034 -1.46706 -1.66679 0.743396 0.293019 -0.793058 0.786094 0.446022 0.449652 1.19946 1.1996 1.20035 -1.80251 
730000000 0.00315811 0.000570412 -0.417496 0.996712 -1.46706 -1.66539 0.743394 0.30344 -0.793059 0.786537 0.446021 0.451033 1.19946 1.1996 1.20036 -1.80508 
750000000 0.0031584 0.000564274 -0.417503 1.01011 -1.46707 -1.67284 0.743392 0.288676 -0.793059 0.788056 0.446021 0.443916 1.19946 1.1996 1.20036 -1.80525 
770000000 0.00315895 0.000568832 -0.417511 1.05049 -1.46707 -1.71118 0.743391 0.24879 -0.79306 0.790042 0.446021 0.436165 1.19946 1.1996 1.20037 -1.83091 
790000000 0.00315636 0.000571607 -0.417517 1.05689 -1.46707 -1.7306 0.74339 0.272914 -0.793061 0.789292 0.446021 0.436788 1.19946 1.1996 1.20038 -1.84392 
810000000 0.00315738 0.000566322 -0.417524 1.06066 -1.46707 -1.74061 0.743387 0.291036 -0.793061 0.789038 0.446021 0.437347 1.19947 1.1996 1.20038 -1.84407 
830000000 0.00315585 0.000571392 -0.41753 1.06091 -1.46708 -1.74196 0.743385 0.305005 -0.793062 0.7887 0.44602 0.436829 1.19947 1.19959 1.20039 -1.84499 
850000000 0.00315426 0.000577682 -0.417537 1.07639 -1.46708 -1.75733 0.743384 0.27872 -0.793063 0.791354 0.44602 0.428824 1.19947 1.19959 1.2004 -1.85164 
870000000 0.00315576 0.000569114 -0.417545 1.093 -1.46708 -1.77552 0.743382 0.246015 -0.793063 0.792979 0.44602 0.425815 1.19947 1.19959 1.2004 -1.8644 
890000000 0.00315433 0.000566017 -0.417552 1.08666 -1.46709 -1.77745 0.743381 0.251551 -0.793064 0.789966 0.44602 0.432914 1.19947 1.19959 1.20041 -1.86592 
910000000 0.00315448 0.00558767 -0.417561 1.10555 -1.46709 -1.79394 0.74338 0.213119 -0.793064 0.79082 0.446019 0.430258 1.19947 1.19959 1.20041 -1.87944 
930000000 0.00315439 0.0262823 -0.417565 1.09194 -1.46709 -1.78753 0.743377 0.24996 -0.793065 0.790628 0.446019 0.433337 1.19947 1.19959 1.20042 -1.87276 
950000000 0.00315276 0.0261756 -0.417572 1.10698 -1.4671 -1.80351 0.743376 0.22469 -0.793066 0.791617 0.446019 0.433357 1.19947 1.19959 1.20043 -1.87799 
970000000 0.00315312 0.0258262 -0.41758 1.09242 -1.4671 -1.79631 0.743374 0.259193 -0.793067 0.791979 0.446019 0.435613 1.19947 1.19958 1.20043 -1.87177 
990000000 0.00315413 0.0236255 -0.417589 1.09505 -1.4671 -1.79632 0.743372 0.264678 -0.793067 0.791142 0.446019 0.438175 1.19947 1.19958 1.20044 -1.86593 
10000000 0.00315327 0.0235688 -0.417596 1.08516 -1.4671 -1.7908 0.743371 0.282381 -0.793068 0.788604 0.446018 0.444224 1.19947 1.19958 1.20044 -1.86171 
30000000 0.00315145 0.0235754 -0.417603 1.07319 -1.46711 -1.78173 0.74337 0.308457 -0.793068 0.783058 0.446018 0.453829 1.19947 1.19958 1.20045 -1.8496 
50000000 0.00315173 0.0235658 -0.41761 1.0661 -1.46711 -1.76873 0.743368 0.329147 -0.793069 0.779498 0.446018 0.462673 1.19947 1.19958 1.20046 -1.82413 
70000000 0.00315003 0.0235697 -0.417613 1.04666 -1.46711 -1.74643 0.743366 0.376412 -0.79307 0.777471 0.446018 0.471697 1.19947 1.19958 1.20046 -1.79569 
90000000 0.00315139 0.0235574 -0.417624 1.04635 -1.46712 -1.73492 0.743364 0.402647 -0.79307 0.778122 0.446017 0.469085 1.19947 1.19958 1.20047 -1.76954 
110000000 0.00314943 0.0235647 -0.417631 1.05272 -1.46712 -1.72976 0.743362 0.423036 -0.793071 0.778667 0.446017 0.470185 1.19947 1.19958 1.20048 -1.75087 
130000000 0.00314792 0.0235672 -0.41764 1.05642 -1.46712 -1.72769 0.743361 0.432302 -0.793072 0.778635 0.446017 0.469447 1.19947 1.19958 1.20048 -1.7455 
150000000 0.00314777 0.0235647 -0.417647 1.05369 -1.46713 -1.72482 0.743358 0.443432 -0.793073 0.780441 0.446017 0.466082 1.19948 1.19958 1.20049 -1.7409 
170000000 0.00314869 0.0235725 -0.417655 1.05916 -1.46713 -1.73398 0.743357 0.415414 -0.793073 0.78072 0.446016 0.464888 1.19948 1.19959 1.20049 -1.75319 
190000000 0.00314858 0.0235471 -0.417664 1.05496 -1.46713 -1.72996 0.743355 0.420353 -0.793074 0.77961 0.446016 0.468352 1.19948 1.19958 1.2005 -1.74786 
210000000 0.00314679 0.0235491 -0.417672 1.05517 -1.46714 -1.7264 0.743354 0.432354 -0.793074 0.779215 0.446016 0.472 1.19948 1.19958 1.20051 -1.73672 
230000000 0.00314616 0.0235505 -0.417682 1.06364 -1.46714 -1.73794 0.743352 0.407674 -0.793075 0.779978 0.446016 0.468083 1.19948 1.19958 1.20051 -1.7447 
250000000 0.00314662 0.0235497 -0.41769 1.05403 -1.46714 -1.73603 0.743351 0.413055 -0.793076 0.778449 0.446016 0.473544 1.19948 1.19958 1.20052 -1.74725 
270000000 0.00314496 0.0235498 -0.417693 1.04177 -1.46715 -1.71775 0.743349 0.459826 -0.793076 0.777626 0.446015 0.479706 1.19948 1.19958 1.20052 -1.71763 
290000000 0.00314677 0.0235404 -0.417699 1.04694 -1.46715 -1.71021 0.743346 0.476939 -0.793077 0.779204 0.446015 0.474036 1.19948 1.19958 1.20053 -1.69084 
310000000 0.00314467 0.0235411 -0.417705 1.04977 -1.46715 -1.71147 0.743344 0.470496 -0.793078 0.778545 0.446015 0.482042 1.19948 1.19958 1.20054 -1.69261 
330000000 0.00314439 0.0235487 -0.417712 1.05335 -1.46716 -1.71204 0.743342 0.462732 -0.793079 0.780378 0.446015 0.476226 1.19948 1.19958 1.20054 -1.69188 
350000000 0.0031438 0.0235448 -0.417723 1.05072 -1.46716 -1.71261 0.743341 0.455 -0.793079 0.778721 0.446014 0.482174 1.19948 1.19958 1.20055 -1.69498 
370000000 0.00314456 0.0235443 -0.417728 1.0449 -1.46716 -1.70445 0.743339 0.474408 -0.79308 0.778269 0.446014 0.487083 1.19948 1.19958 1.20056 -1.6855 
390000000 0.00314477 0.0235468 -0.417737 1.04178 -1.46716 -1.69486 0.743337 0.503288 -0.79308 0.777274 0.446014 0.493215 1.19948 1.19958 1.20056 -1.66722 
410000000 0.00314378 0.0235411 -0.417746 1.03984 -1.46717 -1.68987 0.743336 0.529506 -0.793081 0.775969 0.446014 0.498797 1.19948 1.19958 1.20057 -1.6484 
430000000 0.00314318 0.0235339 -0.417745 1.03615 -1.46717 -1.67675 0.743333 0.575212 -0.793082 0.775787 0.446013 0.506213 1.19948 1.19958 1.20058 -1.6164 
450000000 0.00314316 0.0235373 -0.417755 1.03827 -1.46717 -1.67668 0.743331 0.587511 -0.793083 0.777359 0.446013 0.496619 1.19948 1.19958 1.20058 -1.60369 
470000000 0.00314273 0.0235429 -0.417761 1.03839 -1.46718 -1.67801 0.743329 0.585613 -0.793083 0.777408 0.446013 0.494981 1.19949 1.19958 1.20059 -1.60538 
490000000 0.00314182 0.0235352 -0.417771 1.04337 -1.46718 -1.70267 0.743326 0.555346 -0.793084 0.78019 0.446013 0.477003 1.19949 1.19958 1.20059 -1.62186 
510000000 0.00314069 0.0235394 -0.417781 1.04455 -1.46718 -1.71104 0.743324 0.526448 -0.793085 0.780807 0.446012 0.475709 1.19949 1.19958 1.2006 -1.64109 
530000000 0.00313882 0.0235436 -0.417793 1.05133 -1.46719 -1.73162 0.743323 0.480658 -0.793085 0.782028 0.446012 0.466937 1.19949 1.19958 1.20061 -1.6656 
550000000 0.00313906 0.0235338 -0.417797 1.04497 -1.46719 -1.73665 0.743322 0.470657 -0.793086 0.780722 0.446012 0.473651 1.19949 1.19958 1.20061 -1.67919 
570000000 0.00313923 0.0235331 -0.417804 1.03916 -1.46719 -1.72765 0.743321 0.486314 -0.793087 0.778521 0.446012 0.483065 1.19949 1.19958 1.20062 -1.67068 
590000000 0.00314107 0.0235302 -0.417812 1.0422 -1.4672 -1.72905 0.743318 0.48783 -0.793088 0.779831 0.446012 0.48066 1.19949 1.19958 1.20063 -1.66928 
610000000 0.00314085 0.0235262 -0.417821 1.04596 -1.4672 -1.73799 0.743316 0.476165 -0.793088 0.780559 0.446011 0.475609 1.19949 1.19957 1.20063 -1.67574 
630000000 0.00313828 0.0235429 -0.417829 1.04868 -1.46721 -1.74227 0.743315 0.464057 -0.793089 0.781532 0.446011 0.473462 1.19949 1.19957 1.20064 -1.68198 
650000000 0.00313962 0.0235403 -0.417842 1.05262 -1.46721 -1.75885 0.743312 0.425247 -0.79309 0.781762 0.446011 0.469108 1.19949 1.19957 1.20064 -1.70459 
670000000 0.00313945 0.0235418 -0.417855 1.05719 -1.46721 -1.76893 0.743311 0.389629 -0.79309 0.781516 0.446011 0.470686 1.19949 1.19956 1.20065 -1.72041 
690000000 0.00313811 0.0235478 -0.417864 1.05152 -1.46721 -1.76602 0.743311 0.384896 -0.793091 0.780996 0.446011 0.472529 1.19949 1.19956 1.20066 -1.72497 
710000000 0.00313776 0.0235422 -0.417873 1.05456 -1.46721 -1.77171 0.743309 0.360469 -0.793092 0.778961 0.44601 0.478114 1.19949 1.19956 1.20066 -1.73796 
730000000 0.0031369 0.0235491 -0.417876 1.0386 -1.46722 -1.75305 0.743307 0.395574 -0.793092 0.778397 0.44601 0.482712 1.19949 1.19956 1.20067 -1.72872 
750000000 0.00313634 0.0235554 -0.417885 1.03699 -1.46722 -1.747 0.743306 0.405172 -0.793093 0.77797 0.44601 0.488149 1.19949 1.19956 1.20067 -1.72225 
770000000 0.00313726 0.0235616 -0.417896 1.04163 -1.46723 -1.74889 0.743304 0.403145 -0.793094 0.779259 0.44601 0.48219 1.1995 1.19956 1.20068 -1.71661 
790000000 0.00313754 0.0235543 -0.417904 1.052 -1.46723 -1.75867 0.743301 0.378157 -0.793095 0.781017 0.446009 0.47501 1.1995 1.19956 1.20069 -1.72381 
